pollster,median_date,mode,n,LV,region,party,pct
Ipsos,2019-04-24,online,1000,FALSE,Ontario,Liberal,0.34
Forum Research,2019-04-24,IVR,1595,FALSE,Ontario,Liberal,0.34
Abacus Data,2019-04-27,online,4015,FALSE,Ontario,Liberal,0.34
Angus Reid,2019-04-28,online,1525,FALSE,Ontario,Liberal,0.32
Campaign Research,2019-05-01,online,1471,FALSE,Ontario,Liberal,0.36
Abacus Data,2019-05-29,online,1500,FALSE,Ontario,Liberal,0.33
Innovative Research,2019-05-29,online,1691,FALSE,Ontario,Liberal,0.41
Angus Reid,2019-06-01,online,4698,FALSE,Ontario,Liberal,0.32
Forum Research,2019-06-01,IVR,1633,FALSE,Ontario,Liberal,0.37
Campaign Research,2019-06-05,online,2735,FALSE,Ontario,Liberal,0.34
Ipsos,2019-06-06,online,1003,FALSE,Ontario,Liberal,0.32
Leger,2019-06-09,online,1528,FALSE,Ontario,Liberal,0.29
Forum Research,2019-06-12,IVR,1471,FALSE,Ontario,Liberal,
EKOS,2019-06-15,IVR,2491,FALSE,Ontario,Liberal,0.39
Forum Research,2019-06-22,IVR,1539,FALSE,Ontario,Liberal,0.36
Innovative Research,2019-06-22,telephone,3055,FALSE,Ontario,Liberal,0.37
DART/Maru,2019-06-26,online,1512,FALSE,Ontario,Liberal,0.4
EKOS,2019-06-28,IVR,1194,FALSE,Ontario,Liberal,0.385
Abacus Data,2019-06-30,online,3092,FALSE,Ontario,Liberal,0.34
Mainstreet Research,2019-06-30,telephone,2651,FALSE,Ontario,Liberal,0.416
Innovative Research,2019-07-03,online,2515,FALSE,Ontario,Liberal,0.43
EKOS,2019-07-08,IVR,425,FALSE,Ontario,Liberal,0.329
Angus Reid,2019-07-09,online,2361,FALSE,Ontario,Liberal,0.34
Campaign Research,2019-07-10,online,1896,FALSE,Ontario,Liberal,0.38
Corbett Communications,2019-07-10,online,3848,FALSE,Ontario,Liberal,0.38
Ipsos,2019-07-14,online,1000,FALSE,Ontario,Liberal,0.32
Abacus Data,2019-07-15,online,1500,FALSE,Ontario,Liberal,0.35
Research Co.,2019-07-16,online,1000,FALSE,Ontario,Liberal,0.34
EKOS,2019-07-17,IVR,1000,FALSE,Ontario,Liberal,0.395
Nanos Research,2019-07-19,telephone,1000,FALSE,Ontario,Liberal,
Leger,2019-07-21,online,1536,FALSE,Ontario,Liberal,0.36
Forum Research,2019-07-23,IVR,4234,FALSE,Ontario,Liberal,
Innovative Research,2019-07-24,telephone,3050,FALSE,Ontario,Liberal,0.38
EKOS,2019-07-25,online,1000,FALSE,Ontario,Liberal,0.338
Forum Research,2019-07-27,IVR,1733,FALSE,Ontario,Liberal,0.36
Innovative Research,2019-07-29,online,1804,FALSE,Ontario,Liberal,0.43
Mainstreet Research,2019-07-31,IVR,2463,FALSE,Ontario,Liberal,0.432
Abacus Data,2019-08-04,online,1422,FALSE,Ontario,Liberal,0.35
EKOS,2019-08-07,online,1000,FALSE,Ontario,Liberal,0.403
Campaign Research,2019-08-11,online,2365,FALSE,Ontario,Liberal,0.37
Narrative Research,2019-08-11,telephone,15843,FALSE,Ontario,Liberal,
Corbett Communications,2019-08-12,online,2750,FALSE,Ontario,Liberal,0.39
Ipsos,2019-08-17,online,1001,FALSE,Ontario,Liberal,0.35
DART/Maru,2019-08-17,online,1342,FALSE,Ontario,Liberal,0.4
Leger,2019-08-18,online,1535,FALSE,Ontario,Liberal,0.38
Abacus Data,2019-08-19,online,2152,FALSE,Ontario,Liberal,0.34
EKOS,2019-08-19,online,750,FALSE,Ontario,Liberal,0.429
EKOS,2019-08-21,online,1067,FALSE,Ontario,Liberal,0.459
Angus Reid,2019-08-24,online,1534,FALSE,Ontario,Liberal,0.35
Abacus Data,2019-08-26,online,4549,FALSE,Ontario,Liberal,0.37
EKOS,2019-08-27,online,1086,FALSE,Ontario,Liberal,0.467
Leger,2019-08-28,online,2102,FALSE,Ontario,Liberal,0.39
EKOS,2019-08-28,online,902,FALSE,Ontario,Liberal,0.484
Innovative Research,2019-09-02,online,1894,FALSE,Ontario,Liberal,0.36
Campaign Research,2019-09-04,online,2094,FALSE,Ontario,Liberal,0.36
EKOS,2019-09-04,online,2393,FALSE,Ontario,Liberal,0.408
Mainstreet Research,2019-09-07,telephone,1876,FALSE,Ontario,Liberal,0.453
Leger,2019-09-08,online,1546,FALSE,Ontario,Liberal,0.37
Abacus Data,2019-09-08,online,2000,FALSE,Ontario,Liberal,0.36
Insights West,2019-09-08,online,6952,FALSE,Ontario,Liberal,
Forum Research,2019-09-11,IVR,1001,FALSE,Ontario,Liberal,0.347
DART/Maru,2019-09-11,online,1517,FALSE,Ontario,Liberal,0.4
Innovative Research,2019-09-13,online,1622,FALSE,Ontario,Liberal,0.39
Mainstreet Research,2019-09-14,IVR,1900,FALSE,Ontario,Liberal,
Leger,2019-09-15,online,1598,FALSE,Ontario,Liberal,0.38
Nanos Research,2019-09-15,online,2670,FALSE,Ontario,Liberal,
Angus Reid,2019-09-17,online,1805,FALSE,Ontario,Liberal,0.36
Campaign Research,2019-09-19,online,2575,FALSE,Ontario,Liberal,0.34
Campaign Research,2019-09-19,telephone,2513,FALSE,Ontario,Liberal,0.38
Abacus Data,2019-09-20,online,1929,FALSE,Ontario,Liberal,0.36
EKOS,2019-09-20,online,1152,FALSE,Ontario,Liberal,0.404
Forum Research,2019-09-20,IVR,2449,FALSE,Ontario,Liberal,0.39
Insights West,2019-09-21,online,6936,FALSE,Ontario,Liberal,
Angus Reid,2019-09-22,online,1523,FALSE,Ontario,Liberal,0.35
Leger,2019-09-22,online,2153,FALSE,Ontario,Liberal,0.4
Innovative Research,2019-09-23,online,2303,FALSE,Ontario,Liberal,0.42
Abacus Data,2019-09-25,online,1975,FALSE,Ontario,Liberal,0.4
Research Co.,2019-09-25,online,1000,FALSE,Ontario,Liberal,0.39
Nanos Research,2019-09-25,online,2827,FALSE,Ontario,Liberal,
EKOS,2019-09-28,online,1492,FALSE,Ontario,Liberal,0.44
Angus Reid,2019-09-29,online,1522,FALSE,Ontario,Liberal,0.33
Mainstreet Research,2019-09-29,IVR,2360,FALSE,Ontario,Liberal,
Leger,2019-09-29,online,1558,FALSE,Ontario,Liberal,0.39
Forum Research,2019-10-01,IVR,1853,FALSE,Ontario,Liberal,0.4
Campaign Research,2019-10-01,online,4755,FALSE,Ontario,Liberal,0.36
Abacus Data,2019-10-04,online,1556,FALSE,Ontario,Liberal,0.37
Mainstreet Research,2019-10-04,IVR,2338,FALSE,Ontario,Liberal,
Innovative Research,2019-10-05,online,2835,FALSE,Ontario,Liberal,0.39
Forum Research,2019-10-08,IVR,1013,FALSE,Ontario,Liberal,0.35
Leger,2019-10-08,online,2150,FALSE,Ontario,Liberal,0.37
Leger,2019-10-08,online,9317,FALSE,Ontario,Liberal,
Lethbridge College,2019-10-08,online,9474,FALSE,Ontario,Liberal,
Innovative Research,2019-10-09,online,2394,FALSE,Ontario,Liberal,0.39
Angus Reid,2019-10-09,online,3031,FALSE,Ontario,Liberal,0.33
EKOS,2019-10-09,online,1947,FALSE,Ontario,Liberal,0.35
Campaign Research,2019-10-09,online,4037,FALSE,Ontario,Liberal,0.34
Abacus Data,2019-10-09,online,3000,FALSE,Ontario,Liberal,0.37
DART/Maru,2019-10-09,online,1310,FALSE,Ontario,Liberal,0.33
Nanos Research,2019-10-09,telephone,3705,FALSE,Ontario,Liberal,
Forum Research,2019-10-11,IVR,4338,FALSE,Ontario,Liberal,
EKOS,2019-10-13,online,1904,FALSE,Ontario,Liberal,0.4
Angus Reid,2019-10-14,online,2100,FALSE,Ontario,Liberal,0.34
Leger,2019-10-14,online,13013,FALSE,Ontario,Liberal,
Forum Research,2019-10-16,IVR,1028,FALSE,Ontario,Liberal,0.37
DART/Maru,2019-10-16,online,1518,FALSE,Ontario,Liberal,0.32
EKOS,2019-10-16,online,1881,FALSE,Ontario,Liberal,0.37
Innovative Research,2019-10-16,online,3094,FALSE,Ontario,Liberal,0.4
Innovative Research,2019-10-16,online,1964,FALSE,Ontario,Liberal,0.41
Campaign Research,2019-10-17,online,1987,FALSE,Ontario,Liberal,0.36
Abacus Data,2019-10-18,online,2000,FALSE,Ontario,Liberal,0.39
Campaign Research,2019-10-18,online,5039,FALSE,Ontario,Liberal,0.37
Leger,2019-10-18,online,2117,FALSE,Ontario,Liberal,0.39
Research Co.,2019-10-19,online,957,FALSE,Ontario,Liberal,0.39
Mainstreet Research,2018-01-06,IVR,9830,FALSE,Ontario,Conservative,0.369
Campaign Research,2018-01-11,online,1887,FALSE,Ontario,Conservative,0.32
Forum Research,2018-01-24,IVR,1408,FALSE,Ontario,Conservative,0.46
Abacus Data,2018-01-28,online,1411,FALSE,Ontario,Conservative,0.37
Campaign Research,2018-02-10,online,2227,FALSE,Ontario,Conservative,0.39
Ipsos,2018-03-01,online,1001,FALSE,Ontario,Conservative,0.43
Forum Research,2018-03-01,IVR,941,FALSE,Ontario,Conservative,0.47
Abacus Data,2018-03-04,online,1411,FALSE,Ontario,Conservative,0.39
Angus Reid,2018-03-15,online,5423,FALSE,Ontario,Conservative,0.45
Ipsos,2018-03-23,online,1001,FALSE,Ontario,Conservative,0.42
Mainstreet Research,2018-04-18,IVR,9401,FALSE,Ontario,Conservative,0.384
Forum Research,2018-04-20,IVR,1585,FALSE,Ontario,Conservative,0.42
Ipsos,2018-04-30,online,1907,FALSE,Ontario,Conservative,0.38
Innovative Research,2018-05-02,telephone,1000,FALSE,Ontario,Conservative,0.42
Leger,2018-05-10,online,2103,FALSE,Ontario,Conservative,
Innovative Research,2018-05-14,online,2327,FALSE,Ontario,Conservative,0.38
Forum Research,2018-05-16,IVR,969,FALSE,Ontario,Conservative,0.46
Angus Reid,2018-06-14,online,1023,FALSE,Ontario,Conservative,0.38
Ipsos,2018-06-15,online,1001,FALSE,Ontario,Conservative,0.38
Campaign Research,2018-06-18,online,1579,FALSE,Ontario,Conservative,0.38
Ipsos,2018-06-29,online,1002,FALSE,Ontario,Conservative,0.35
Ipsos,2018-07-16,online,1000,FALSE,Ontario,Conservative,0.37
Mainstreet Research,2018-07-17,IVR,9384,FALSE,Ontario,Conservative,0.367
Abacus Data,2018-07-22,online,2000,FALSE,Ontario,Conservative,0.34
EKOS,2018-07-26,IVR,1302,FALSE,Ontario,Conservative,0.29
Forum Research,2018-08-12,IVR,1777,FALSE,Ontario,Conservative,0.44
Abacus Data,2018-08-20,online,1500,FALSE,Ontario,Conservative,0.35
Abacus Data,2018-08-25,online,1000,FALSE,Ontario,Conservative,0.37
Campaign Research,2018-09-14,online,1486,FALSE,Ontario,Conservative,0.42
Abacus Data,2018-09-19,online,2000,FALSE,Ontario,Conservative,0.33
DART/Maru,2018-09-19,online,5769,FALSE,Ontario,Conservative,0.39
Pollara,2018-09-20,online,1002,FALSE,Ontario,Conservative,0.29
Innovative Research,2018-10-01,online,2410,FALSE,Ontario,Conservative,0.31
Ipsos,2018-10-09,online,2001,FALSE,Ontario,Conservative,0.36
Forum Research,2018-10-10,IVR,1226,FALSE,Ontario,Conservative,0.42
Mainstreet Research,2018-11-07,IVR,7961,FALSE,Ontario,Conservative,0.348
Campaign Research,2018-11-09,online,2512,FALSE,Ontario,Conservative,0.37
Abacus Data,2018-11-13,online,2490,FALSE,Ontario,Conservative,0.33
Leger,2018-11-20,online,1521,FALSE,Ontario,Conservative,0.31
Forum Research,2018-11-29,IVR,1541,FALSE,Ontario,Conservative,0.44
Ipsos,2018-12-12,online,2001,FALSE,Ontario,Conservative,0.33
Campaign Research,2018-12-13,online,1494,FALSE,Ontario,Conservative,0.37
Abacus Data,2018-12-18,online,2000,FALSE,Ontario,Conservative,0.37
Mainstreet Research,2019-01-15,IVR,7941,FALSE,Ontario,Conservative,0.36
Innovative Research,2019-01-20,telephone,2451,FALSE,Ontario,Conservative,0.34
Abacus Data,2019-02-02,online,2500,FALSE,Ontario,Conservative,0.36
Campaign Research,2019-02-09,online,1590,FALSE,Ontario,Conservative,0.4
Abacus Data,2019-02-10,online,2500,FALSE,Ontario,Conservative,0.34
Ipsos,2019-02-18,online,1002,FALSE,Ontario,Conservative,0.38
Leger,2019-02-19,online,1529,FALSE,Ontario,Conservative,0.37
Angus Reid,2019-02-23,online,1009,FALSE,Ontario,Conservative,0.4
Abacus Data,2019-02-24,online,2374,FALSE,Ontario,Conservative,0.33
Forum Research,2019-02-28,IVR,1301,FALSE,Ontario,Conservative,0.42
Abacus Data,2019-03-02,online,1500,FALSE,Ontario,Conservative,0.38
Ipsos,2019-03-03,online,1000,FALSE,Ontario,Conservative,0.4
Innovative Research,2019-03-03,online,2122,FALSE,Ontario,Conservative,0.33
Campaign Research,2019-03-09,online,1893,FALSE,Ontario,Conservative,0.4
Angus Reid,2019-03-18,online,5807,FALSE,Ontario,Conservative,0.37
Leger,2019-03-20,online,1513,FALSE,Ontario,Conservative,0.38
Forum Research,2019-03-20,IVR,1490,FALSE,Ontario,Conservative,0.41
Mainstreet Research,2019-03-22,IVR,8501,FALSE,Ontario,Conservative,0.326
Ipsos,2019-03-26,online,1002,FALSE,Ontario,Conservative,0.4
Campaign Research,2019-04-05,online,2035,FALSE,Ontario,Conservative,0.37
Forum Research,2019-04-05,IVR,1634,FALSE,Ontario,Conservative,0.41
Innovative Research,2019-04-07,online,2527,FALSE,Ontario,Conservative,0.34
Leger,2019-04-20,online,1522,FALSE,Ontario,Conservative,0.39
Ipsos,2019-04-24,online,1000,FALSE,Ontario,Conservative,0.34
Forum Research,2019-04-24,IVR,1595,FALSE,Ontario,Conservative,0.36
Abacus Data,2019-04-27,online,4015,FALSE,Ontario,Conservative,0.36
Angus Reid,2019-04-28,online,1525,FALSE,Ontario,Conservative,0.37
Campaign Research,2019-05-01,online,1471,FALSE,Ontario,Conservative,0.33
Abacus Data,2019-05-29,online,1500,FALSE,Ontario,Conservative,0.3
Innovative Research,2019-05-29,online,1691,FALSE,Ontario,Conservative,0.3
Angus Reid,2019-06-01,online,4698,FALSE,Ontario,Conservative,0.34
Forum Research,2019-06-01,IVR,1633,FALSE,Ontario,Conservative,0.3
Campaign Research,2019-06-05,online,2735,FALSE,Ontario,Conservative,0.36
Ipsos,2019-06-06,online,1003,FALSE,Ontario,Conservative,0.38
Leger,2019-06-09,online,1528,FALSE,Ontario,Conservative,0.39
Forum Research,2019-06-12,IVR,1471,FALSE,Ontario,Conservative,
EKOS,2019-06-15,IVR,2491,FALSE,Ontario,Conservative,0.29
Forum Research,2019-06-22,IVR,1539,FALSE,Ontario,Conservative,0.32
Innovative Research,2019-06-22,telephone,3055,FALSE,Ontario,Conservative,0.34
DART/Maru,2019-06-26,online,1512,FALSE,Ontario,Conservative,0.34
EKOS,2019-06-28,IVR,1194,FALSE,Ontario,Conservative,0.319
Abacus Data,2019-06-30,online,3092,FALSE,Ontario,Conservative,0.33
Mainstreet Research,2019-06-30,telephone,2651,FALSE,Ontario,Conservative,0.32
Innovative Research,2019-07-03,online,2515,FALSE,Ontario,Conservative,0.27
EKOS,2019-07-08,IVR,425,FALSE,Ontario,Conservative,0.315
Angus Reid,2019-07-09,online,2361,FALSE,Ontario,Conservative,0.36
Campaign Research,2019-07-10,online,1896,FALSE,Ontario,Conservative,0.31
Corbett Communications,2019-07-10,online,3848,FALSE,Ontario,Conservative,0.33
Ipsos,2019-07-14,online,1000,FALSE,Ontario,Conservative,0.38
Abacus Data,2019-07-15,online,1500,FALSE,Ontario,Conservative,0.34
Research Co.,2019-07-16,online,1000,FALSE,Ontario,Conservative,0.3
EKOS,2019-07-17,IVR,1000,FALSE,Ontario,Conservative,0.31
Nanos Research,2019-07-19,telephone,1000,FALSE,Ontario,Conservative,
Leger,2019-07-21,online,1536,FALSE,Ontario,Conservative,0.36
Forum Research,2019-07-23,IVR,4234,FALSE,Ontario,Conservative,
Innovative Research,2019-07-24,telephone,3050,FALSE,Ontario,Conservative,0.33
EKOS,2019-07-25,online,1000,FALSE,Ontario,Conservative,0.358
Forum Research,2019-07-27,IVR,1733,FALSE,Ontario,Conservative,0.31
Innovative Research,2019-07-29,online,1804,FALSE,Ontario,Conservative,0.29
Mainstreet Research,2019-07-31,IVR,2463,FALSE,Ontario,Conservative,0.305
Abacus Data,2019-08-04,online,1422,FALSE,Ontario,Conservative,0.3
EKOS,2019-08-07,online,1000,FALSE,Ontario,Conservative,0.289
Campaign Research,2019-08-11,online,2365,FALSE,Ontario,Conservative,0.33
Narrative Research,2019-08-11,telephone,15843,FALSE,Ontario,Conservative,
Corbett Communications,2019-08-12,online,2750,FALSE,Ontario,Conservative,0.31
Ipsos,2019-08-17,online,1001,FALSE,Ontario,Conservative,0.32
DART/Maru,2019-08-17,online,1342,FALSE,Ontario,Conservative,0.38
Leger,2019-08-18,online,1535,FALSE,Ontario,Conservative,0.3
Abacus Data,2019-08-19,online,2152,FALSE,Ontario,Conservative,0.34
EKOS,2019-08-19,online,750,FALSE,Ontario,Conservative,0.299
EKOS,2019-08-21,online,1067,FALSE,Ontario,Conservative,0.291
Angus Reid,2019-08-24,online,1534,FALSE,Ontario,Conservative,0.36
Abacus Data,2019-08-26,online,4549,FALSE,Ontario,Conservative,0.33
EKOS,2019-08-27,online,1086,FALSE,Ontario,Conservative,0.292
Leger,2019-08-28,online,2102,FALSE,Ontario,Conservative,0.32
EKOS,2019-08-28,online,902,FALSE,Ontario,Conservative,0.331
Innovative Research,2019-09-02,online,1894,FALSE,Ontario,Conservative,0.35
Campaign Research,2019-09-04,online,2094,FALSE,Ontario,Conservative,0.36
EKOS,2019-09-04,online,2393,FALSE,Ontario,Conservative,0.299
Mainstreet Research,2019-09-07,telephone,1876,FALSE,Ontario,Conservative,0.304
Leger,2019-09-08,online,1546,FALSE,Ontario,Conservative,0.31
Abacus Data,2019-09-08,online,2000,FALSE,Ontario,Conservative,0.35
Insights West,2019-09-08,online,6952,FALSE,Ontario,Conservative,
Forum Research,2019-09-11,IVR,1001,FALSE,Ontario,Conservative,0.365
DART/Maru,2019-09-11,online,1517,FALSE,Ontario,Conservative,0.33
Innovative Research,2019-09-13,online,1622,FALSE,Ontario,Conservative,0.31
Mainstreet Research,2019-09-14,IVR,1900,FALSE,Ontario,Conservative,
Leger,2019-09-15,online,1598,FALSE,Ontario,Conservative,0.33
Nanos Research,2019-09-15,online,2670,FALSE,Ontario,Conservative,
Angus Reid,2019-09-17,online,1805,FALSE,Ontario,Conservative,0.35
Campaign Research,2019-09-19,online,2575,FALSE,Ontario,Conservative,0.38
Campaign Research,2019-09-19,telephone,2513,FALSE,Ontario,Conservative,0.42
Abacus Data,2019-09-20,online,1929,FALSE,Ontario,Conservative,0.32
EKOS,2019-09-20,online,1152,FALSE,Ontario,Conservative,0.349
Forum Research,2019-09-20,IVR,2449,FALSE,Ontario,Conservative,0.33
Insights West,2019-09-21,online,6936,FALSE,Ontario,Conservative,
Angus Reid,2019-09-22,online,1523,FALSE,Ontario,Conservative,0.35
Leger,2019-09-22,online,2153,FALSE,Ontario,Conservative,0.31
Innovative Research,2019-09-23,online,2303,FALSE,Ontario,Conservative,0.3
Abacus Data,2019-09-25,online,1975,FALSE,Ontario,Conservative,0.33
Research Co.,2019-09-25,online,1000,FALSE,Ontario,Conservative,0.34
Nanos Research,2019-09-25,online,2827,FALSE,Ontario,Conservative,
EKOS,2019-09-28,online,1492,FALSE,Ontario,Conservative,0.31
Angus Reid,2019-09-29,online,1522,FALSE,Ontario,Conservative,0.38
Mainstreet Research,2019-09-29,IVR,2360,FALSE,Ontario,Conservative,
Leger,2019-09-29,online,1558,FALSE,Ontario,Conservative,0.3
Forum Research,2019-10-01,IVR,1853,FALSE,Ontario,Conservative,0.29
Campaign Research,2019-10-01,online,4755,FALSE,Ontario,Conservative,0.36
Abacus Data,2019-10-04,online,1556,FALSE,Ontario,Conservative,0.35
Mainstreet Research,2019-10-04,IVR,2338,FALSE,Ontario,Conservative,
Innovative Research,2019-10-05,online,2835,FALSE,Ontario,Conservative,0.34
Forum Research,2019-10-08,IVR,1013,FALSE,Ontario,Conservative,0.31
Leger,2019-10-08,online,2150,FALSE,Ontario,Conservative,0.31
Leger,2019-10-08,online,9317,FALSE,Ontario,Conservative,
Lethbridge College,2019-10-08,online,9474,FALSE,Ontario,Conservative,
Innovative Research,2019-10-09,online,2394,FALSE,Ontario,Conservative,0.31
Angus Reid,2019-10-09,online,3031,FALSE,Ontario,Conservative,0.36
EKOS,2019-10-09,online,1947,FALSE,Ontario,Conservative,0.32
Campaign Research,2019-10-09,online,4037,FALSE,Ontario,Conservative,0.33
Abacus Data,2019-10-09,online,3000,FALSE,Ontario,Conservative,0.32
DART/Maru,2019-10-09,online,1310,FALSE,Ontario,Conservative,0.32
Nanos Research,2019-10-09,telephone,3705,FALSE,Ontario,Conservative,
Forum Research,2019-10-11,IVR,4338,FALSE,Ontario,Conservative,
EKOS,2019-10-13,online,1904,FALSE,Ontario,Conservative,0.3
Angus Reid,2019-10-14,online,2100,FALSE,Ontario,Conservative,0.34
Leger,2019-10-14,online,13013,FALSE,Ontario,Conservative,
Forum Research,2019-10-16,IVR,1028,FALSE,Ontario,Conservative,0.29
DART/Maru,2019-10-16,online,1518,FALSE,Ontario,Conservative,0.36
EKOS,2019-10-16,online,1881,FALSE,Ontario,Conservative,0.31
Innovative Research,2019-10-16,online,3094,FALSE,Ontario,Conservative,0.31
Innovative Research,2019-10-16,online,1964,FALSE,Ontario,Conservative,0.31
Campaign Research,2019-10-17,online,1987,FALSE,Ontario,Conservative,0.32
Abacus Data,2019-10-18,online,2000,FALSE,Ontario,Conservative,0.33
Campaign Research,2019-10-18,online,5039,FALSE,Ontario,Conservative,0.33
Leger,2019-10-18,online,2117,FALSE,Ontario,Conservative,0.35
Research Co.,2019-10-19,online,957,FALSE,Ontario,Conservative,0.33
Mainstreet Research,2018-01-06,IVR,9830,FALSE,Ontario,NDP,0.122
Campaign Research,2018-01-11,online,1887,FALSE,Ontario,NDP,0.19
Forum Research,2018-01-24,IVR,1408,FALSE,Ontario,NDP,0.11
Abacus Data,2018-01-28,online,1411,FALSE,Ontario,NDP,0.18
Campaign Research,2018-02-10,online,2227,FALSE,Ontario,NDP,0.17
Ipsos,2018-03-01,online,1001,FALSE,Ontario,NDP,0.18
Forum Research,2018-03-01,IVR,941,FALSE,Ontario,NDP,0.12
Abacus Data,2018-03-04,online,1411,FALSE,Ontario,NDP,0.17
Angus Reid,2018-03-15,online,5423,FALSE,Ontario,NDP,0.18
Ipsos,2018-03-23,online,1001,FALSE,Ontario,NDP,0.27
Mainstreet Research,2018-04-18,IVR,9401,FALSE,Ontario,NDP,0.125
Forum Research,2018-04-20,IVR,1585,FALSE,Ontario,NDP,0.13
