region,pollster,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
ON,Léger,2020-12-12,42,28,22,7,,,LPC +14
ON,Campaign Research,2020-12-02,40,31,18,7,,,LPC +9
ON,Léger,2020-11-28,38,32,22,7,,,LPC +6
ON,Angus Reid,2020-11-27,39,36,19,4,,,LPC +3
ON,Mainstreet Research,2020-11-25,44,31,12,7,,3,LPC +13
ON,Ipsos,2020-11-22,41,31,19,9,,,LPC +10
ON,Abacus Data,2020-11-21,43,31,18,4,,2,LPC +12
ON,EKOS,2020-11-20,42,31,16,5,,4,LPC +11
ON,Léger,2020-11-14,40,34,19,5,,,LPC +6
ON,Abacus Data,2020-11-09,44,33,14,6,,2,LPC +11
ON,Léger,2020-11-07,41,30,21,6,,,LPC +11
ON,Angus Reid,2020-11-07,41,33,20,5,,,LPC +8
ON,Pollara,2020-11-04,46,28,18,6,,2,LPC +18
ON,Léger,2020-10-31,36,32,24,7,,,LPC +4
ON,Ipsos,2020-10-25,41,37,15,6,,,LPC +4
ON,Léger,2020-10-24,40,32,20,6,,,LPC +8
ON,Mainstreet Research,2020-10-21,40,36,15,5,,2,LPC +4
ON,EKOS,2020-10-18,41,32,13,9,,5,LPC +9
ON,Léger,2020-10-17,40,34,17,6,,,LPC +6
ON,Léger,2020-10-10,41,31,22,5,,,LPC +10
ON,Léger,2020-10-03,37,31,26,5,,,LPC +6
ON,Léger,2020-09-26,46,30,19,4,,,LPC +16
ON,Abacus Data,2020-09-26,41,33,18,5,,,LPC +8
ON,Mainstreet Research,2020-09-23,41,33,17,5,,2,LPC +8
ON,Abacus Data,2020-09-20,39,33,20,6,,,LPC +6
ON,Léger,2020-09-19,40,35,18,7,,,LPC +5
ON,Ipsos,2020-09-13,40,32,19,8,,,LPC +8
ON,Campaign Research,2020-09-13,44,33,16,6,,,LPC +11
ON,Léger,2020-09-12,40,31,19,7,,,LPC +9
ON,Research Co.,2020-09-12,43,30,22,2,,1,LPC +13
ON,Innovative Research,2020-09-10,43,31,17,7,,,LPC +12
ON,Léger,2020-09-05,38,33,21,6,,,LPC +5
ON,Abacus Data,2020-09-01,36,34,19,6,,3,LPC +2
ON,Angus Reid,2020-08-30,42,35,17,4,,,LPC +7
ON,Léger,2020-08-29,40,33,19,5,,,LPC +7
ON,Léger,2020-08-22,42,32,18,6,,,LPC +10
ON,Innovative Research,2020-08-22,45,28,17,7,,,LPC +17
ON,Ipsos,2020-08-18,37,35,17,9,,,LPC +2
ON,Abacus Data,2020-08-17,44,29,19,6,,2,LPC +15
ON,Léger,2020-08-15,40,32,20,6,,,LPC +8
ON,Innovative Research,2020-08-13,46,29,16,6,,,LPC +17
ON,Campaign Research,2020-08-12,36,33,20,8,,,LPC +3
ON,Léger,2020-08-08,40,32,19,8,,,LPC +8
ON,Léger,2020-08-01,37,31,22,7,,,LPC +6
ON,Abacus Data,2020-07-28,36,35,19,6,,2,LPC +1
ON,Léger,2020-07-25,39,32,22,6,,,LPC +7
ON,EKOS,2020-07-20,41,31,16,6,,4,LPC +10
ON,Léger,2020-07-18,44,31,17,7,,,LPC +13
ON,Innovative Research,2020-07-17,44,30,15,7,,,LPC +14
ON,Abacus Data,2020-07-15,41,34,16,6,,,LPC +7
ON,Léger,2020-07-11,46,27,18,8,,,LPC +19
ON,Léger,2020-07-04,44,26,22,6,,,LPC +18
ON,Léger,2020-06-28,46,27,19,6,,,LPC +19
ON,Mainstreet Research,2020-06-26,48,27,15,6,,3,LPC +21
ON,Léger,2020-06-20,41,32,20,5,,,LPC +9
ON,Abacus Data,2020-06-17,44,31,16,6,,1,LPC +13
ON,EKOS,2020-06-14,47,30,13,5,,4,LPC +17
ON,Léger,2020-06-13,46,30,17,6,,,LPC +16
ON,Abacus Data,2020-06-09,45,29,17,7,,,LPC +16
ON,Léger,2020-06-06,52,26,17,4,,,LPC +26
ON,Léger,2020-05-30,45,26,19,7,,,LPC +19
ON,Abacus Data,2020-05-28,41,33,17,7,,,LPC +8
ON,Léger,2020-05-24,47,30,16,6,,,LPC +17
ON,Angus Reid,2020-05-22,41,33,19,5,,,LPC +8
ON,Léger,2020-05-16,51,27,14,7,,1,LPC +24
ON,Abacus Data,2020-05-16,46,33,14,5,,,LPC +13
ON,Léger,2020-05-09,50,29,14,7,,,LPC +21
ON,Mainstreet Research,2020-05-07,51,26,12,6,,3,LPC +25
ON,EKOS,2020-05-04,51,27,11,6,,4,LPC +24
ON,Innovative Research,2020-05-03,48,27,12,8,,,LPC +21
ON,Léger,2020-05-02,52,25,16,6,,,LPC +27
ON,Research Co.,2020-05-02,44,34,16,4,,1,LPC +10
ON,Léger,2020-04-25,48,29,13,8,,,LPC +19
ON,Abacus Data,2020-04-22,41,36,15,6,,,LPC +5
ON,Angus Reid,2020-04-16,44,29,18,2,,,LPC +15
ON,Léger,2020-04-11,44,27,17,8,,,LPC +17
ON,Innovative Research,2020-04-01,48,28,15,7,,0,LPC +20
ON,EKOS,2020-03-23,52,27,11,7,,2,LPC +25
ON,Mainstreet Research,2020-03-17,51,30,11,5,,1,LPC +21
ON,Léger,2020-03-01,39,28,22,10,,0,LPC +11
ON,Angus Reid,2020-02-26,32,35,24,7,,0,CPC +3
ON,Campaign Research,2020-02-25,36,32,21,10,,,LPC +4
ON,Léger,2020-01-30,40,30,21,8,,,LPC +10
ON,Léger,2020-01-19,37,32,20,9,,,LPC +5
ON,Mainstreet Research,2020-01-17,47,32,12,5,,3,LPC +15
ON,Abacus Data,2020-01-17,39,29,19,9,,2,LPC +10
ON,Léger,2020-01-05,39,31,20,9,,,LPC +8
ON,Abacus Data,2019-12-14,39,31,17,8,,,LPC +8
ON,Angus Reid,2019-12-13,38,32,21,6,,,LPC +6
ON,EKOS,2019-12-07,39,28,17,11,,3,LPC +11
ON,Léger,2019-11-21,35,33,22,8,,4,LPC +2
