region,pollster,rating,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
QC,Ipsos,,2021-05-13,40,15,9,5,30,,LPC +10
QC,Abacus Data,,2021-05-10,33,18,11,7,25,,LPC +8
QC,Léger,,2021-05-08,29,20,9,8,31,,BQ +2
QC,EKOS,,2021-05-04,42,15,14,8,17,3,LPC +25
QC,Innovative Research,,2021-04-30,42,18,13,5,19,,LPC +23
QC,Léger,,2021-04-24,36,17,10,4,29,,LPC +7
QC,EKOS,,2021-04-23,35,19,12,8,22,,LPC +13
QC,Angus Reid,,2021-04-23,35,15,14,5,29,,LPC +6
QC,Abacus Data,,2021-04-23,36,16,8,7,30,,LPC +6
QC,Ipsos,,2021-04-21,33,13,5,10,38,,BQ +5
QC,Abacus Data,,2021-04-19,41,13,10,6,28,,LPC +13
QC,Mainstreet Research,,2021-04-18,40,14,8,10,25,,LPC +15
QC,Abacus Data,,2021-04-12,38,15,12,6,27,0,LPC +11
QC,Léger,,2021-04-10,32,19,11,6,28,,LPC +4
QC,Ipsos,,2021-04-08,35,17,8,4,35,,Tie
QC,Innovative Research,,2021-04-08,43,17,10,8,18,,LPC +25
QC,Campaign Research,,2021-04-07,36,15,12,7,28,,LPC +8
QC,Stratcom,,2021-04-02,35,15,9,7,25,,LPC +10
QC,Abacus Data,,2021-03-28,37,17,7,6,30,0,LPC +7
QC,Léger,,2021-03-27,36,19,11,3,29,,LPC +7
QC,Mainstreet Research,,2021-03-22,35,20,6,2,34,,LPC +1
QC,Abacus Data,,2021-03-15,34,14,13,6,27,2,LPC +7
QC,Research Co.,,2021-03-13,43,13,9,4,30,0,LPC +13
QC,Léger,,2021-03-13,30,21,15,5,26,,LPC +4
QC,Abacus Data,,2021-03-04,34,14,11,7,32,,LPC +2
QC,Ipsos,,2021-03-03,28,13,13,9,32,,BQ +4
QC,Angus Reid,,2021-03-01,37,17,13,3,27,,LPC +10
QC,Léger,,2021-02-27,34,16,16,4,29,,LPC +5
QC,Mainstreet Research,,2021-02-24,40,18,10,4,25,,LPC +15
QC,CROP,,2021-02-20,41,16,12,6,25,,LPC +16
QC,Angus Reid,,2021-02-15,32,18,15,4,29,,LPC +3
QC,Léger,,2021-02-13,36,18,12,4,26,,LPC +10
QC,Mainstreet Research,,2021-02-09,32,22,11,6,23,3,LPC +9
QC,Ipsos,,2021-02-09,27,21,14,6,32,,BQ +5
QC,Abacus Data,,2021-02-01,32,15,9,6,36,1,BQ +4
QC,Léger,,2021-01-30,34,15,11,6,31,,LPC +3
QC,Campaign Research,,2021-01-29,32,19,11,9,26,,LPC +6
QC,Angus Reid,,2021-01-22,36,18,14,4,26,,LPC +10
QC,Mainstreet Research,,2021-01-20,37,19,14,5,22,2,LPC +15
QC,Innovative Research,,2021-01-20,33,16,8,8,33,,Tie
QC,Léger,,2021-01-16,33,20,11,6,28,,LPC +5
QC,EKOS,,2021-01-16,32,19,12,8,25,2,LPC +7
QC,Abacus Data,,2021-01-10,37,14,9,5,35,0,LPC +2
QC,Ipsos,,2021-01-06,32,16,13,9,27,,LPC +5
QC,Léger,,2021-01-01,33,20,11,5,30,,LPC +3
QC,Abacus Data,,2020-12-16,37,17,10,5,30,1,LPC +7
QC,Research Co.,,2020-12-13,45,9,8,1,35,1,LPC +10
QC,Ipsos,,2020-12-13,36,17,11,6,30,,LPC +6
QC,Léger,,2020-12-12,33,21,11,4,30,,LPC +3
QC,Campaign Research,,2020-12-02,34,20,13,6,23,,LPC +11
QC,Léger,,2020-11-28,32,17,12,7,30,,LPC +2
QC,Angus Reid,,2020-11-27,36,18,12,4,28,,LPC +8
QC,Mainstreet Research,,2020-11-25,45,18,8,5,22,2,LPC +23
QC,Ipsos,,2020-11-22,33,16,11,4,36,,BQ +3
QC,Abacus Data,,2020-11-21,35,18,8,5,29,5,LPC +6
QC,EKOS,,2020-11-20,32,18,9,8,29,3,LPC +3
QC,Léger,,2020-11-14,36,16,10,5,33,,LPC +3
QC,Abacus Data,,2020-11-09,34,20,6,8,31,2,LPC +3
QC,Léger,,2020-11-07,30,16,13,5,32,,BQ +2
QC,Angus Reid,,2020-11-07,35,18,11,5,30,,LPC +5
QC,Léger,,2020-10-31,34,17,12,7,30,,LPC +4
QC,Ipsos,,2020-10-25,35,18,12,8,26,,LPC +9
QC,Léger,,2020-10-24,35,16,10,5,32,,LPC +3
QC,Mainstreet Research,,2020-10-21,41,19,9,3,23,3,LPC +18
QC,EKOS,,2020-10-18,35,20,11,6,25,1,LPC +10
QC,Léger,,2020-10-17,33,13,12,6,33,,Tie
QC,Léger,,2020-10-10,33,15,15,5,31,,LPC +2
QC,Léger,,2020-10-03,33,18,14,3,32,,LPC +1
QC,Léger,,2020-09-26,30,15,18,5,32,,BQ +2
QC,Abacus Data,,2020-09-26,33,15,10,12,26,,LPC +7
QC,Mainstreet Research,,2020-09-23,41,19,14,3,21,2,LPC +20
QC,Abacus Data,,2020-09-20,36,15,11,9,26,,LPC +10
QC,Léger,,2020-09-19,32,18,11,4,33,,BQ +1
QC,Ipsos,,2020-09-13,32,17,15,7,28,,LPC +4
QC,Campaign Research,,2020-09-13,36,18,10,7,26,,LPC +10
QC,Research Co.,,2020-09-12,38,14,7,2,34,1,LPC +4
QC,Léger,,2020-09-12,28,21,14,5,31,,BQ +3
QC,Innovative Research,,2020-09-10,41,14,10,9,24,,LPC +17
QC,Léger,,2020-09-05,30,20,14,5,30,,Tie
QC,Abacus Data,,2020-09-01,31,17,9,8,31,2,Tie
QC,Angus Reid,,2020-08-30,34,20,13,4,28,,LPC +6
QC,Léger,,2020-08-29,30,14,18,2,34,,BQ +4
QC,Léger,,2020-08-22,32,16,12,4,33,,BQ +1
QC,Innovative Research,,2020-08-22,34,13,9,8,31,,LPC +3
QC,Ipsos,,2020-08-18,37,16,13,3,30,,LPC +7
QC,Abacus Data,,2020-08-17,33,22,9,3,25,7,LPC +8
QC,Léger,,2020-08-15,30,16,12,6,34,,BQ +4
QC,Innovative Research,,2020-08-13,36,13,11,7,30,,LPC +6
QC,Campaign Research,,2020-08-12,31,19,11,7,30,,LPC +1
QC,Léger,,2020-08-08,34,14,9,5,35,,BQ +1
QC,Léger,,2020-08-01,27,18,16,4,33,,BQ +6
QC,Abacus Data,,2020-07-28,32,12,11,8,33,1,BQ +1
QC,Léger,,2020-07-25,30,13,15,3,39,,BQ +9
QC,EKOS,,2020-07-20,31,13,11,14,28,1,LPC +3
QC,Léger,,2020-07-18,38,12,10,7,31,,LPC +7
QC,Innovative Research,,2020-07-17,36,12,10,8,30,,LPC +6
QC,Abacus Data,,2020-07-15,33,16,9,9,29,,LPC +4
QC,Léger,,2020-07-11,39,12,10,4,34,,LPC +5
QC,Léger,,2020-07-04,39,12,10,3,35,,LPC +4
QC,Léger,,2020-06-28,39,15,10,5,29,,LPC +10
QC,Mainstreet Research,,2020-06-26,49,9,11,3,24,1,LPC +25
QC,Léger,,2020-06-20,39,10,12,4,31,,LPC +8
QC,Abacus Data,,2020-06-17,44,13,8,5,28,2,LPC +16
QC,EKOS,,2020-06-14,41,15,13,7,22,1,LPC +19
QC,Léger,,2020-06-13,39,14,9,7,31,,LPC +8
QC,Abacus Data,,2020-06-09,38,13,16,4,28,,LPC +10
QC,Léger,,2020-06-06,45,9,9,6,29,,LPC +16
QC,Léger,,2020-05-30,38,14,12,5,30,,LPC +8
QC,Abacus Data,,2020-05-28,37,13,8,9,31,,LPC +6
QC,Léger,,2020-05-24,40,13,10,5,30,,LPC +10
QC,Angus Reid,,2020-05-22,37,14,13,3,30,,LPC +7
QC,Léger,,2020-05-16,40,10,12,6,31,1,LPC +9
QC,Abacus Data,,2020-05-16,35,14,11,7,32,,LPC +3
QC,Léger,,2020-05-09,35,17,10,6,30,,LPC +5
QC,Mainstreet Research,,2020-05-07,50,14,7,3,25,1,LPC +25
QC,EKOS,,2020-05-04,41,13,9,4,29,3,LPC +12
QC,Innovative Research,,2020-05-03,40,16,7,6,28,,LPC +12
QC,Research Co.,,2020-05-02,40,17,8,7,26,1,LPC +14
QC,Léger,,2020-05-02,38,11,13,4,30,,LPC +8
QC,Léger,,2020-04-25,41,15,7,3,31,,LPC +10
QC,Abacus Data,,2020-04-22,43,9,8,5,33,,LPC +10
QC,Angus Reid,,2020-04-16,32,18,11,2,32,,Tie
QC,Léger,,2020-04-11,38,14,12,5,29,,LPC +9
QC,Innovative Research,,2020-04-01,38,12,8,5,33,3,LPC +5
QC,EKOS,,2020-03-23,32,13,10,5,37,1,BQ +5
QC,Mainstreet Research,,2020-03-17,27,21,8,4,38,2,BQ +11
QC,Léger,,2020-03-01,31,13,9,6,37,0,BQ +6
QC,Angus Reid,,2020-02-26,26,14,17,4,37,0,BQ +11
QC,Campaign Research,,2020-02-25,30,16,10,10,32,,BQ +2
QC,Léger,,2020-01-30,32,18,11,5,32,,Tie
QC,Léger,,2020-01-19,32,17,10,5,34,,BQ +2
QC,Mainstreet Research,,2020-01-17,45,12,8,2,28,4,LPC +17
QC,Abacus Data,,2020-01-17,37,17,11,5,26,4,LPC +11
QC,Léger,,2020-01-05,38,15,11,3,31,,LPC +7
QC,Abacus Data,,2019-12-14,29,18,12,8,31,,BQ +2
QC,Angus Reid,,2019-12-13,31,16,12,5,35,,BQ +4
QC,EKOS,,2019-12-07,31,14,16,7,26,5,LPC +5
QC,Léger,,2019-11-21,33,13,13,4,32,2,LPC +1
